Designator,Mid X,Mid Y,Rotation,Layer
C1,151.903486,-93.881,90.0,top
C2,151.903486,-98.045586,270.0,top
C3,152.527,-103.378,90.0,top
C4,161.163,-125.222,0.0,top
C5,153.935486,-93.881,90.0,top
C6,153.935486,-98.045586,270.0,top
J13,146.89703,-85.358142,45.0,top
J14,158.8599,-107.696,90.0,top
J15,108.67003,-121.934142,45.0,top
R1,152.527,-106.934,90.0,top
R2,152.527,-110.363,90.0,top
R3,161.163,-119.38,180.0,top
R4,161.163,-121.285,0.0,top
R5,161.163,-123.19,180.0,top
R6,149.86,-119.126,180.0,top
R7,149.86,-121.031,180.0,top
R8,149.86,-123.063,180.0,top
U1,155.301,-121.551,90.0,top
U2,159.385,-95.899,180.0,top
